rider_slug,rank,pcs_points
tyler-hamilton,29,911
juan-antonio-flecha,30,905
jerome-pineau,31,904
max-van-heeswijk,32,894
bradley-mcgee,33,850
leonardo-piepoli,34,849
jaan-kirsipuu,35,846
michael-rogers,36,832
stefano-garzelli,37,811
danilo-di-luca,38,806
franco-pellizotti,39,796
laurent-brochard,40,788
santiago-perez,41,766
dario-david-cioni,42,753
georg-totschnig,43,741
sylvain-chavanel,44,736
ivan-gutierrez,45,731
vladimir-karpets,46,728
floyd-landis,47,723
carlos-sastre,48,720
philippe-gilbert,49,711
viatcheslav-ekimov,50,707
marcos-antonio-serrano,51,678
nick-nuyens,52,657
jorg-jaksche,53,656
michele-scarponi,54,655
thomas-voeckler,55,653
levi-leipheimer,56,653
serhiy-honchar,57,649
oscar-pereiro,58,648
fabian-jeker,59,646
roger-hammond,60,629
christophe-moreau,61,627
stefan-van-dijk-1,62,626
fabian-cancellara,63,625
eladio-jimenez,64,625
magnus-backstedt,65,622
michael-rich,66,619
markus-zberg,67,611
igor-astarloa-ascasibar,68,609
jose-bento-carvalho-de-azevedo,69,600
eddy-mazzoleni,70,600
lance-armstrong,71,592
fabian-wegmann,72,591
george-hincapie,73,590
kurt-asle-arvesen,74,585
gerben-lowik,75,581
jimmy-casper,76,574
baden-cooke,77,573
matthias-kessler,78,563
pierrick-fedrigo,79,561
roberto-laiseka-jaio,80,554
matteo-tosatto,81,542
tadej-valjavec,82,536
steffen-wesemann,83,534
sandy-casar,84,532
olaf-pollack,85,520
frank-hoj-christensen,86,518
luca-mazzanti,87,509
david-moncoutie,88,507
dmitriy-fofonov,89,507
carlos-garcia-quesada,90,504
jean-patrick-nazon,91,502
fred-rodriguez,92,502
didier-rous,93,502
yaroslav-popovych,94,501
axel-merckx,95,495
joaquim-rodriguez,96,494
jose-enrique-gutierrez-cataluna,97,493
thomas-dekker,98,491
kim-kirchen,99,484
cadel-evans,100,483
alessandro-petacchi,1,2282
tom-boonen,2,2149
danilo-di-luca,3,1804
alexandre-vinokourov,4,1562
bobby-julich,5,1526
robbie-mcewen,6,1444
ivan-basso,7,1359
damiano-cunego,8,1312
thor-hushovd,9,1263
paolo-bettini,10,1259
erik-zabel,11,1243
alejandro-valverde,12,1200
davide-rebellin,13,1177
jens-voigt,14,1133
francisco-mancebo,15,1100
murilo-antonio-fischer,16,1072
kim-kirchen,17,1034
oscar-pereiro,18,1019
denis-menchov,19,1019
gilberto-simoni,20,998
stuart-o-grady,21,980
michael-rogers,22,979
daniele-bennati,23,968
paolo-savoldelli,24,955
oscar-freire,25,954
cadel-evans,26,920
frank-schleck,27,908
allan-davis,28,908
roberto-heras,29,904
samuel-sanchez,30,893
fabian-cancellara,31,887
ruben-plaza,32,856
carlos-sastre,33,849
joaquim-rodriguez,34,834
jose-humberto-rujano,35,816
alberto-contador,36,811
thomas-dekker,37,809
santiago-botero,38,808
david-moncoutie,39,787
mirko-celestino,40,782
franco-pellizotti,41,753
christophe-moreau,42,749
fabian-wegmann,43,741
stefan-van-dijk-1,44,733
jorg-jaksche,45,732
levi-leipheimer,46,726
luca-mazzanti,47,713
miguel-angel-martin-perdiguero,48,711
andreas-klier,49,689
laurent-brochard,50,687
filippo-pozzato,51,686
juan-antonio-flecha,52,682
philippe-gilbert,53,680
nick-nuyens,54,679
paride-grillo,55,678
carlos-garcia-quesada,56,675
ruggero-marzoli,57,673
yaroslav-popovych,58,672
constantino-zaballa,59,663
stefan-schumacher,60,652
lorenzo-bernucci,61,650
steven-de-jongh,62,635
angel-vicioso,63,608
niko-eeckhout,64,602
eddy-mazzoleni,65,596
thomas-danielson,66,585
kurt-asle-arvesen,67,573
jan-ullrich,68,567
baden-cooke,69,556
bradley-mcgee,70,555
bernhard-eisel,71,551
sylvain-chavanel,72,551
leonardo-piepoli,73,548
danilo-hondo,74,545
michael-rasmussen,75,542
oscar-sevilla,76,539
aitor-osa,77,538
marzio-bruseghin,78,537
pieter-weening,79,535
emanuele-sella,80,535
serhiy-honchar,81,535
nico-mattan,82,533
simon-gerrans,83,532
wim-van-huffel,84,530
tadej-valjavec,85,522
eladio-jimenez,86,519
david-etxebarria,87,508
stefano-garzelli,88,507
floyd-landis,89,502
anthony-geslin,90,496
pedro-arreitunandia,91,482
erik-dekker,92,477
georg-totschnig,93,475
vladimir-gusev,94,475
mauricio-alberto-ardila,95,470
ivan-gutierrez,96,466
vladimir-efimkin,97,463
sandy-casar,98,463
danilo-napolitano,99,460
patrice-halgand,100,451
tom-boonen,1,2499
alejandro-valverde,2,2276
paolo-bettini,3,1995
robbie-mcewen,4,1916
erik-zabel,5,1844
thor-hushovd,6,1734
samuel-sanchez,7,1707
frank-schleck,8,1431
damiano-cunego,9,1420
cadel-evans,10,1409
stefan-schumacher,11,1391
ivan-basso,12,1341
fabian-cancellara,13,1262
carlos-sastre,14,1242
alessandro-ballan,15,1229
alexandre-vinokourov,16,1220
andrey-kashechkin,17,1170
oscar-freire,18,1100
davide-rebellin,19,1088
philippe-gilbert,20,1078
daniele-bennati,21,1032
stuart-o-grady,22,1018
jens-voigt,23,1009
alessandro-petacchi,24,983
filippo-pozzato,25,927
stefano-garzelli,26,923
christophe-moreau,27,887
luca-paolini,28,852
bernhard-eisel,29,842
vladimir-gusev,30,822
rinaldo-nocentini,31,820
oscar-pereiro,32,811
baden-cooke,33,810
danilo-hondo,34,807
kurt-asle-arvesen,35,798
luca-mazzanti,36,774
vincenzo-nibali,37,765
andreas-kloden,38,764
patrik-sinkewitz,39,762
thomas-danielson,40,742
michael-rogers,41,740
niko-eeckhout,42,738
jose-angel-gomez-marchante,43,724
karsten-kroon,44,719
juan-antonio-flecha,45,716
leif-hoste,46,712
leonardo-piepoli,47,704
denis-menchov,48,699
levi-leipheimer,49,689
francisco-javier-patxi-vila,50,688
danilo-napolitano,51,687
cyril-dessel,52,682
cristian-moreni,53,680
andrea-tonti,54,662
fabian-wegmann,55,661
vladimir-karpets,56,655
floyd-landis,57,644
jose-enrique-gutierrez-cataluna,58,642
franco-pellizotti,59,638
alexandre-botcharov,60,637
jorg-jaksche,61,635
paolo-savoldelli,62,633
pierrick-fedrigo,63,630
sebastian-lang,64,622
david-kopp,65,617
koldo-gil-perez,66,614
steven-de-jongh,67,613
fabrizio-guidi,68,599
danilo-di-luca,69,599
antonio-colom,70,596
nick-nuyens,71,593
pietro-caucchioli,72,590
alberto-contador,73,589
sylvain-chavanel,74,546
thomas-voeckler,75,535
jose-bento-carvalho-de-azevedo,76,527
janez-brajkovic,77,527
stijn-devolder,78,515
joaquim-rodriguez,79,505
chris-horner,80,499
didier-rous,81,498
igor-anton,82,497
gilberto-simoni,83,496
manuele-mori,84,494
frederic-guesdon,85,494
michael-boogerd,86,491
george-hincapie,87,491
ricardo-serrano,88,489
maarten-tjallingii,89,484
olaf-pollack,90,481
yaroslav-popovych,91,481
santo-anza,92,478
robert-forster,93,478
gert-steegmans,94,467
serhiy-honchar,95,465
jimmy-casper,96,464
haimar-zubeldia,97,459
fran-ventoso,98,458
thomas-dekker,99,457
evgeni-petrov,100,452
cadel-evans,1,1992.0
alejandro-valverde,2,1899.0
danilo-di-luca,3,1780.0
davide-rebellin,4,1663.0
oscar-freire,5,1662.0
alberto-contador,6,1601.0
samuel-sanchez,7,1566.0
tom-boonen,8,1535.0
frank-schleck,9,1526.0
damiano-cunego,10,1416.0
kim-kirchen,11,1349.0
daniele-bennati,12,1323.0
erik-zabel,13,1305.0
jens-voigt,14,1289.0
paolo-bettini,15,1288.0
denis-menchov,16,1264.0
alessandro-petacchi,17,1248.0
vladimir-karpets,18,1242.5
robbie-mcewen,19,1187.0
thor-hushovd,20,1110.0
riccardo-ricco,21,1095.0
alessandro-ballan,22,1082.0
thomas-dekker,23,1041.0
carlos-sastre,24,1003.0
stefan-schumacher,25,1001.0
fabian-cancellara,26,952.0
filippo-pozzato,27,933.5
vladimir-gusev,28,932.0
andreas-kloden,29,931.0
stuart-o-grady,30,907.0
robert-hunter,31,906.0
danilo-napolitano,32,892.0
daniel-moreno,33,839.0
juan-jose-cobo,34,827.0
franco-pellizotti,35,825.0
juan-mauricio-soler-hernandez,36,806.0
vincenzo-nibali,37,801.0
allan-davis,38,786.0
andy-schleck,39,778.0
alessandro-bertolini,40,763.0
mark-cavendish,41,753.0
baden-cooke,42,750.0
gerald-ciolek,43,727.0
david-lopez,44,718.0
igor-anton,45,713.0
leonardo-piepoli,46,705.0
luca-mazzanti,47,703.0
christophe-moreau,48,703.0
ivan-gutierrez,49,702.5
alexandr-kolobnev,50,696.0
joaquim-rodriguez,51,688.0
gert-steegmans,52,684.0
martin-elmiger,53,678.0
tadej-valjavec,54,677.0
robert-gesink,55,669.0
fabian-wegmann,56,664.0
levi-leipheimer,57,658.0
oscar-sevilla,58,648.0
romain-feillu,59,647.0
manuel-beltran,60,632.0
wouter-weylandt,61,630.0
gilberto-simoni,62,628.0
vladimir-efimkin,63,626.0
kurt-asle-arvesen,64,624.0
graeme-brown,65,611.0
philippe-gilbert,66,610.0
jose-joaquin-rojas,67,605.0
marcus-burghardt,68,599.0
greg-van-avermaet,69,597.0
john-gadret,70,583.0
stefan-van-dijk-1,71,583.0
gustav-larsson,72,581.0
sebastien-chavanel,73,579.0
mikel-astarloza,74,577.0
paolo-savoldelli,75,574.0
chris-horner,76,571.0
steven-de-jongh,77,570.0
robert-forster,78,555.0
ariel-maximiliano-richeze,79,553.0
leif-hoste,80,553.0
juan-jose-haedo,81,550.0
thomas-voeckler,82,549.0
david-millar,83,548.0
stefano-garzelli,84,542.0
bernhard-eisel,85,535.0
alexandre-usov,86,523.0
haimar-zubeldia,87,520.0
francisco-mancebo,88,520.0
stijn-devolder,89,519.0
juan-antonio-flecha,90,518.0
andrey-kashechkin,91,511.0
matteo-carrara,92,510.0
laszlo-bodrogi,93,509.0
alexandre-vinokourov,94,502.5
evgeni-petrov,95,501.0
yaroslav-popovych,96,496.0
matti-breschel,97,496.0
janez-brajkovic,98,491.0
giovanni-visconti,99,479.0
enrico-gasparotto,100,475.0
alejandro-valverde,1,2594
alberto-contador,2,2113
fabian-cancellara,3,1915
damiano-cunego,4,1840
cadel-evans,5,1821
davide-rebellin,6,1788
levi-leipheimer,7,1716
kim-kirchen,8,1450
oscar-freire,9,1375
alessandro-ballan,10,1358
tom-boonen,11,1349
philippe-gilbert,12,1313
andre-greipel,13,1223
mark-cavendish,14,1194
carlos-sastre,15,1167
robert-gesink,16,1159
frank-schleck,17,1134
greg-van-avermaet,18,1117
daniele-bennati,19,1095
filippo-pozzato,20,1090
gustav-larsson,21,1052
joaquim-rodriguez,22,1038
denis-menchov,23,1030
erik-zabel,24,1026
stijn-devolder,25,1018
enrico-gasparotto,26,1002
thomas-lofkvist,27,996
jose-joaquin-rojas,28,995
robbie-mcewen,29,987
samuel-sanchez,30,984
paolo-bettini,31,976
roman-kreuziger,32,949
danilo-di-luca,33,944
matti-breschel,34,932
christian-vande-velde,35,928
giovanni-visconti,36,892
thor-hushovd,37,865
allan-davis,38,856
franco-pellizotti,39,847
stefano-garzelli,40,843
gert-steegmans,41,829
mikel-astarloza,42,815
andreas-kloden,43,788
emanuele-sella,44,783
andy-schleck,45,764
sylvain-chavanel,46,749
jerome-pineau,47,749
rinaldo-nocentini,48,745
pierrick-fedrigo,49,725
janez-brajkovic,50,719
ezequiel-mosquera-miguez,51,701
marco-pinotti,52,696
riccardo-ricco,53,695
marzio-bruseghin,54,690
alexandr-kolobnev,55,688
sandy-casar,56,688
jens-voigt,57,685
wouter-weylandt,58,678
gerald-ciolek,59,672
koldo-fernandez,60,671
michael-rogers,61,667
david-moncoutie,62,666
christian-pfannberger,63,663
robert-forster,64,663
luca-paolini,65,662
linus-gerdemann,66,644
michael-albasini,67,634
vincenzo-nibali,68,633
maxime-monfort,69,608
george-hincapie,70,605
nick-nuyens,71,604
jurgen-roelandts,72,598
fabian-wegmann,73,594
thomas-dekker,74,584
sergei-ivanov,75,581
markus-fothen,76,579
luis-leon-sanchez,77,575
cyril-dessel,78,573
stefan-van-dijk-1,79,562
vasil-kiryienka,80,558
benoit-vaugrenard,81,543
karsten-kroon,82,536
bert-grabsch,83,533
joost-posthuma,84,531
igor-anton,85,530
christian-knees,86,527
hector-guerra-garcia,87,524
mikhaylo-khalilov,88,523
juan-antonio-flecha,89,519
vladimir-efimkin,90,514
daniel-moreno,91,509
haimar-zubeldia,92,505
gustavo-cesar-veloso,93,502
rigoberto-uran,94,498
stephen-cummings,95,493
alexandre-botcharov,96,490
francesco-ginanni,97,480
tadej-valjavec,98,480
martin-elmiger,99,476
kurt-asle-arvesen,100,476
alejandro-valverde,1,2054
alberto-contador,2,1926
mark-cavendish,3,1843
cadel-evans,4,1824
philippe-gilbert,5,1630
tyler-farrar,6,1595
edvald-boasson-hagen,7,1558
thor-hushovd,8,1474
samuel-sanchez,9,1456
andre-greipel,10,1406
tom-boonen,11,1297
roman-kreuziger,12,1270
damiano-cunego,13,1243
fabian-cancellara,14,1237
heinrich-haussler,15,1200
andy-schleck,16,1169
allan-davis,17,1122
ivan-basso,18,1092
robert-gesink,19,1078
filippo-pozzato,20,1073
vincenzo-nibali,21,1052
luis-leon-sanchez,22,1039
stefano-garzelli,23,1039
frank-schleck,24,1023
matti-breschel,25,1014
sylvain-chavanel,26,1003
andreas-kloden,27,994
denis-menchov,28,983
alessandro-petacchi,29,971
alexandr-kolobnev,30,948
jakob-fuglsang,31,913
bradley-wiggins,32,904
joaquim-rodriguez,33,901
giovanni-visconti,34,851
daniele-bennati,35,846
tony-martin,36,821
sergei-ivanov,37,809
graeme-brown,38,785
levi-leipheimer,39,776
simon-gerrans,40,768
davide-rebellin,41,761
thomas-voeckler,42,747
francesco-gavazzi,43,736
michael-rogers,44,730
gerald-ciolek,45,730
romain-feillu,46,722
carlos-sastre,47,706
gustav-larsson,48,702
borut-bozic,49,698
daniel-moreno,50,696
fran-ventoso,51,695
jose-joaquin-rojas,52,688
maxime-monfort,53,669
pierrick-fedrigo,54,668
luca-paolini,55,646
michele-scarponi,56,645
johnny-hoogerland,57,640
thomas-lofkvist,58,640
oscar-freire,59,638
sebastian-langeveld,60,617
peter-velits,61,615
david-moncoutie,62,611
david-lelay,63,607
vladimir-karpets,64,601
lars-ytting-bak,65,599
jimmy-casper,66,596
christophe-le-mevel,67,592
matthieu-ladagnous,68,584
yauheni-hutarovich,69,583
fabian-wegmann,70,583
sandy-casar,71,581
greg-van-avermaet,72,573
ezequiel-mosquera-miguez,73,571
matthew-goss,74,570
michael-albasini,75,566
kenny-van-hummel,76,565
alessandro-ballan,77,563
grega-bole,78,554
xavier-tondo,79,545
gregory-henderson,80,540
rein-taaramae,81,535
ryder-hesjedal,82,528
jurgen-roelandts,83,522
jose-rodolfo-serpa,84,515
haimar-zubeldia,85,513
marco-pinotti,86,512
dan-martin,87,507
roger-hammond,88,497
nicolas-roche,89,488
rinaldo-nocentini,90,487
christian-knees,91,484
jens-voigt,92,480
janez-brajkovic,93,478
chris-anker-sorensen,94,476
danilo-napolitano,95,475
david-de-la-fuente,96,472
jurgen-van-den-broeck,97,470
david-zabriskie,98,467
karsten-kroon,99,466
stijn-devolder,100,465
joaquim-rodriguez,1,2091
vincenzo-nibali,2,2022
tyler-farrar,3,1764
luis-leon-sanchez,4,1718
samuel-sanchez,5,1716
cadel-evans,6,1683
philippe-gilbert,7,1683
fabian-cancellara,8,1506
andre-greipel,9,1486
robert-gesink,10,1485
mark-cavendish,11,1461
alexandre-vinokourov,12,1372
thor-hushovd,13,1308
edvald-boasson-hagen,14,1307
michele-scarponi,15,1305
ryder-hesjedal,16,1273
alessandro-petacchi,17,1270
andy-schleck,18,1186
chris-horner,19,1166
oscar-freire,20,1107
frank-schleck,21,1098
alberto-contador,22,1076
michael-rogers,23,1032
robbie-mcewen,24,1028
nicolas-roche,25,985
roman-kreuziger,26,952
tony-martin,27,919
peter-sagan,28,911
giovanni-visconti,29,901
jose-joaquin-rojas,30,900
ivan-basso,31,890
janez-brajkovic,32,876
jurgen-van-den-broeck,33,873
matti-breschel,34,872
marco-marcato,35,867
igor-anton,36,867
dan-martin,37,808
levi-leipheimer,38,802
tom-boonen,39,789
filippo-pozzato,40,775
david-millar,41,769
jakob-fuglsang,42,766
damiano-cunego,43,760
thomas-voeckler,44,741
carlos-sastre,45,733
matthew-goss,46,727
romain-feillu,47,720
gregory-henderson,48,715
xavier-tondo,49,706
david-moncoutie,50,704
richie-porte,51,699
domenico-pozzovivo,52,693
marco-pinotti,53,692
grega-bole,54,687
stefan-van-dijk-1,55,683
gustav-larsson,56,683
peter-velits,57,673
riccardo-ricco,58,657
francesco-gavazzi,59,654
tiago-machado,60,642
sandy-casar,61,633
bjorn-leukemans,62,626
andreas-kloden,63,621
daniele-bennati,64,615
maxime-monfort,65,600
jurgen-roelandts,66,590
simon-spilak,67,587
koos-moerenhout,68,585
greg-van-avermaet,69,582
allan-davis,70,581
maxim-iglinskiy,71,579
samuel-dumoulin,72,574
jerome-coppel,73,572
pierrick-fedrigo,74,565
juan-antonio-flecha,75,554
alexandr-kolobnev,76,550
haimar-zubeldia,77,545
koldo-fernandez,78,537
luca-paolini,79,537
bauke-mollema,80,533
kenny-van-hummel,81,526
tejay-van-garderen,82,523
vladimir-karpets,83,522
leonardo-duque,84,522
christophe-riblon,85,522
matteo-carrara,86,521
sergio-pardilla,87,508
stefano-garzelli,88,507
david-arroyo,89,507
sylvain-chavanel,90,506
wouter-weylandt,91,503
juan-jose-haedo,92,499
christophe-le-mevel,93,495
bernhard-eisel,94,483
enrico-rossi,95,482
danilo-hondo,96,472
fabian-wegmann,97,472
cedric-pineau,98,469
graeme-brown,99,456
martin-elmiger,100,452
philippe-gilbert,1,3031
joaquim-rodriguez,2,2047
cadel-evans,3,2009
tony-martin,4,1819
samuel-sanchez,5,1705
michele-scarponi,6,1622
mark-cavendish,7,1607
peter-sagan,8,1563
edvald-boasson-hagen,9,1492
thomas-voeckler,10,1473
fabian-cancellara,11,1450
frank-schleck,12,1349
jose-joaquin-rojas,13,1293
bradley-wiggins,14,1266
vincenzo-nibali,15,1262
andre-greipel,16,1255
damiano-cunego,17,1231
greg-van-avermaet,18,1213
matthew-goss,19,1167
bauke-mollema,20,1165
dan-martin,21,1112
andy-schleck,22,1094
giovanni-visconti,23,1087
levi-leipheimer,24,1060
romain-feillu,25,1046
tyler-farrar,26,1020
daniele-bennati,27,1017
ivan-basso,28,1014
marco-marcato,29,999
marcel-kittel,30,994
bjorn-leukemans,31,954
daniel-moreno,32,946
robert-gesink,33,913
david-millar,34,906
christopher-froome,35,853
thor-hushovd,36,847
jean-christophe-peraud,37,847
rigoberto-uran,38,834
alexandre-vinokourov,39,827
andreas-kloden,40,824
alessandro-petacchi,41,807
davide-rebellin,42,804
denis-menchov,43,769
denis-galimzyanov,44,753
jakob-fuglsang,45,751
john-degenkolb,46,750
rein-taaramae,47,746
yauheni-hutarovich,48,739
ryder-hesjedal,49,709
jurgen-van-den-broeck,50,706
rui-costa,51,700
simon-gerrans,52,690
simone-ponzi,53,687
wout-poels,54,674
domenico-pozzovivo,55,669
thomas-danielson,56,652
igor-anton,57,644
maxime-monfort,58,640
tony-gallopin,59,638
fran-ventoso,60,629
david-moncoutie,61,629
kenny-van-hummel,62,614
chris-horner,63,613
lars-boom,64,610
stefan-van-dijk-1,65,598
roman-kreuziger,66,592
ben-hermans,67,588
jose-humberto-rujano,68,585
samuel-dumoulin,69,580
janez-brajkovic,70,580
vasil-kiryienka,71,579
john-gadret,72,578
thibaut-pinot,73,576
sylvain-chavanel,74,574
oscar-freire,75,572
jose-rodolfo-serpa,76,567
geraint-thomas,77,565
jurgen-roelandts,78,565
pierre-rolland,79,564
emanuele-sella,80,559
sacha-modolo,81,552
michael-matthews,82,546
chris-anker-sorensen,83,542
borut-bozic,84,535
nick-nuyens,85,534
tiago-machado,86,531
elia-viviani,87,530
anthony-roux,88,530
mikel-nieve,89,526
christian-vande-velde,90,526
linus-gerdemann,91,524
michael-albasini,92,521
ben-swift,93,516
steven-kruijswijk,94,515
nicolas-roche,95,513
jerome-coppel,96,511
grega-bole,97,509
pierrick-fedrigo,98,509
robbie-mcewen,99,507
jelle-vanendert,100,497
joaquim-rodriguez,1,2700
bradley-wiggins,2,2388
alejandro-valverde,3,2118
tom-boonen,4,2116
peter-sagan,5,2109
edvald-boasson-hagen,6,1791
vincenzo-nibali,7,1715
andre-greipel,8,1690
tony-martin,9,1631
john-degenkolb,10,1583
christopher-froome,11,1536
rui-costa,12,1437
mark-cavendish,13,1257
simon-gerrans,14,1245
rigoberto-uran,15,1228
thomas-voeckler,16,1217
daniel-moreno,17,1174
alberto-contador,18,1170
samuel-sanchez,19,1159
sergio-luis-henao,20,1132
philippe-gilbert,21,1118
michael-rogers,22,1095
tejay-van-garderen,23,1091
ryder-hesjedal,24,1070
sylvain-chavanel,25,1023
luis-leon-sanchez,26,1023
alexander-kristoff,27,998
domenico-pozzovivo,28,997
cadel-evans,29,982
fabian-cancellara,30,936
damiano-cunego,31,925
moreno-moser,32,905
taylor-phinney,33,905
jurgen-van-den-broeck,34,889
lieuwe-westra,35,873
lars-boom,36,870
rinaldo-nocentini,37,869
matthew-goss,38,860
roman-kreuziger,39,859
oscar-freire,40,857
robert-gesink,41,848
michele-scarponi,42,826
niki-terpstra,43,817
dan-martin,44,809
janez-brajkovic,45,795
lars-petter-nordhaug,46,792
arnaud-demare,47,792
michael-albasini,48,784
bauke-mollema,49,783
alessandro-ballan,50,777
marco-marcato,51,765
greg-van-avermaet,52,762
giacomo-nizzolo,53,761
marcel-kittel,54,749
nacer-bouhanni,55,747
julien-simon,56,737
jerome-coppel,57,735
luca-paolini,58,723
chris-horner,59,694
andrew-talansky,60,691
daniele-bennati,61,675
giovanni-visconti,62,673
luke-durbridge,63,671
nairo-quintana,64,668
elia-viviani,65,664
samuel-dumoulin,66,663
richie-porte,67,651
levi-leipheimer,68,639
nicolas-roche,69,638
carlos-betancur,70,636
fredrik-kessiakoff,71,633
tyler-farrar,72,617
mark-renshaw,73,617
jakob-fuglsang,74,608
peter-velits,75,596
jurgen-roelandts,76,594
kenny-van-hummel,77,572
simon-clarke,78,572
gianni-meersman,79,568
francesco-gavazzi,80,567
pierre-rolland,81,566
thomas-de-gendt,82,563
danilo-di-luca,83,562
maxime-monfort,84,560
stefan-schumacher,85,559
diego-ulissi,86,557
thibaut-pinot,87,548
juan-antonio-flecha,88,541
marco-pinotti,89,537
ivan-basso,90,536
chris-anker-sorensen,91,533
svein-tuft,92,531
miguel-angel-rubiano,93,530
pierrick-fedrigo,94,530
alexander-serebryakov,95,529
frank-schleck,96,526
robert-kiserlovski,97,526
eros-capecchi,98,517
dario-cataldo,99,516
tony-gallopin,100,514
peter-sagan,1,2802
alejandro-valverde,2,2500
joaquim-rodriguez,3,2458
christopher-froome,4,2415
vincenzo-nibali,5,2225
mark-cavendish,6,1868
rui-costa,7,1786
nairo-quintana,8,1623
andre-greipel,9,1516
richie-porte,10,1509
fabian-cancellara,11,1501
tony-martin,12,1481
bauke-mollema,13,1422
daniel-moreno,14,1362
dan-martin,15,1352
sylvain-chavanel,16,1286
alberto-contador,17,1248
greg-van-avermaet,18,1222
alexander-kristoff,19,1180
marcel-kittel,20,1144
michal-kwiatkowski,21,1122
john-degenkolb,22,1118
diego-ulissi,23,1097
roman-kreuziger,24,1095
sergio-luis-henao,25,1047
tejay-van-garderen,26,1028
chris-horner,27,1003
nacer-bouhanni,28,1001
michele-scarponi,29,985
carlos-betancur,30,984
arnaud-demare,31,962
simon-spilak,32,924
philippe-gilbert,33,905
edvald-boasson-hagen,34,879
jan-bakelants,35,872
elia-viviani,36,852
samuel-dumoulin,37,846
niki-terpstra,38,843
jakob-fuglsang,39,838
benat-intxausti,40,835
robert-gesink,41,827
domenico-pozzovivo,42,825
pieter-weening,43,816
andrew-talansky,44,805
samuel-sanchez,45,800
rafal-majka,46,783
rigoberto-uran,47,770
cadel-evans,48,762
romain-bardet,49,743
nicolas-roche,50,736
zdenek-stybar,51,735
bradley-wiggins,52,733
wilco-kelderman,53,724
filippo-pozzato,54,720
bryan-coquard,55,712
gerald-ciolek,56,707
thibaut-pinot,57,707
geraint-thomas,58,704
